thema,quelle,n_teachers,mean,std,range
The Non-Issue of Same Sex Marriage,Gemini3.1Pro,9,4.731111111111111,1.7229331865838844,5.93
Locker checks,Gemini3.1Pro,9,4.588888888888889,1.6946349619670273,5.93
museums and art galleries will disappear soon?,GLM-5.1,9,4.525555555555555,1.6578507580003907,5.79
The Non-Issue of Same Sex Marriage,Student,9,3.4055555555555554,1.2983160983974684,4.36
Traditional games or modern games in developing children's skills,ChatGPT-4,9,4.874444444444444,0.6667518464101603,2.3600000000000003
Locker checks,DeepSeek-V4Pro,9,5.176666666666666,0.6404165311212174,2.07
Traditional games or modern games in developing children's skills,GPT-5.5,9,4.771111111111111,0.6302987729718951,1.8599999999999999
Why you should exercise,GPT-5.5,9,4.9688888888888885,0.6099807728198295,1.9999999999999996
The Non-Issue of Same Sex Marriage,ChatGPT-4,9,4.89,0.5984609891676779,1.7899999999999996
museums and art galleries will disappear soon?,ClaudeOpus4.7,9,5.358888888888888,0.5938283411605007,2.07
Why you should exercise,Student,9,4.454444444444444,0.5727149981760582,1.8599999999999999
Traditional games or modern games in developing children's skills,ClaudeOpus4.6,9,4.858888888888888,0.5541047723720056,1.9300000000000002
International sporting occasions help to ease international tensions,ClaudeOpus4.6,9,4.937777777777778,0.5539911306505783,1.5
Several languages are in danger of extinction,ClaudeOpus4.6,9,5.1611111111111105,0.5536032362711372,1.5
Traditional games or modern games in developing children's skills,ChatGPT-3,9,4.325555555555556,0.5524312146444842,1.92
Traditional games or modern games in developing children's skills,GLM-5.1,9,5.025555555555555,0.5523306399272714,1.8599999999999999
The Non-Issue of Same Sex Marriage,ClaudeOpus4.7,9,4.866666666666666,0.5504947269905902,1.4299999999999997
The Non-Issue of Same Sex Marriage,GPT-5.5,9,4.5888888888888895,0.54514920372407,1.5000000000000004
Everyone Should Go Camping,ChatGPT-3,9,4.387777777777778,0.5444829918326758,1.7799999999999998
The Non-Issue of Same Sex Marriage,ClaudeOpus4.6,9,4.93,0.543323108288245,1.6399999999999997
Solve traffic and housing problems by moving companies to the rural areas?,GLM-5.1,9,4.673333333333334,0.5402879890494615,1.5699999999999994
museums and art galleries will disappear soon?,ChatGPT-3,9,4.922222222222222,0.5367345252704393,1.8599999999999999
Locker checks,DeepSeek-V3.2,9,5.1211111111111105,0.5351935152497946,1.6500000000000004
