session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
c6686969b18d439fa24b07d89132ba55,Student,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,3.71,4.0,4.0,4.0,3.5,3.5,3.5,3.5
10dab0816cf64aa2aa8bcad2b2b763d2,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.36,4.5,4.5,4.5,4.5,4.0,4.0,4.5
cb0a023371a6428b89c7072901483f19,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
75021a27f4f74dbc8ef9ff216ea22d9d,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
227766709a674b5290fa55d241d0120e,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,5.07,5.0,5.0,5.0,5.5,5.0,5.0,5.0
abc23ba6222a457583fd655c4f4790a2,GLM-5.1,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.0,4.0,4.0,4.5,4.0,3.5,4.0,4.0
68a20f4d444b4f2e977fd896befdc354,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.29,4.5,4.5,4.5,4.5,4.0,4.0,4.0
69ae4f9a61e644609d3c0f177e8efa00,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.93,5.0,5.0,5.0,5.0,5.0,4.5,5.0
26a283b7ac3448f69ab43394ce6a8ec0,GPT-5.5,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,4.43,4.5,4.5,4.5,4.5,4.5,4.0,4.5
287d3d54b4f746e0bd35a46f178eb641,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T01:38:38.336670+00:00,MiniMax-M2.7-Highspeed Evaluator,minimax/minimax-m2.7-highspeed,5.36,5.5,5.0,5.5,5.5,5.5,5.0,5.5
