session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
f43c2390bca549e9953e6987e5edbf31,Student,Is image more powerful than the written word?,2026-04-26T15:53:07.602403+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,4.79,5.5,5.0,5.0,4.5,4.5,4.5,4.5
6055b762d1794e199d3df1836fdda338,ChatGPT-3,Is image more powerful than the written word?,2026-04-26T15:53:09.675469+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.0,5.5,5.5,5.0,5.0,4.5,5.0,4.5
dd1bfd2895194551b6a4a8551503e449,ChatGPT-4,Is image more powerful than the written word?,2026-04-26T15:53:11.610782+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.36,5.5,5.5,5.5,5.5,5.0,5.5,5.0
1172a9686480462c9372058ac8f47015,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-26T15:53:13.505688+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.86,6.0,6.0,6.0,6.0,5.5,6.0,5.5
7d7a3a4a64954e5397ca0f47ff77c913,Kimi-K2.6,Is image more powerful than the written word?,2026-04-26T15:53:15.409237+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.79,6.0,6.0,6.0,6.0,5.5,5.5,5.5
a5d89121445d4d22b70d262a37b4c06b,GLM-5.1,Is image more powerful than the written word?,2026-04-26T15:53:17.153272+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.21,5.5,5.5,5.5,5.5,4.5,5.0,5.0
226289cfeadd4dd59a00e9c1944c5d96,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-26T15:53:18.987918+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5
76175eb585434115a891b4996979a81c,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-26T15:53:20.764201+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
11d34fca48114437bae647d64fe87783,GPT-5.5,Is image more powerful than the written word?,2026-04-26T15:53:22.603954+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.79,6.0,6.0,6.0,6.0,5.5,5.5,5.5
2efb7ed36e8f4e0db5b776cba83f9d86,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-26T15:53:24.444412+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
57ab9eb5eb09438881c6c86568ce269a,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-26T15:53:26.186629+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.86,6.0,6.0,6.0,6.0,5.5,6.0,5.5
cb22bc521b274602bf182df345a67ca7,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-26T15:53:27.926238+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.79,6.0,6.0,6.0,6.0,5.5,5.5,5.5
4b0f2b5f8e0c4ecd9bd18f3961a443c7,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-26T15:53:29.919120+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
7e1ba6792b20418da2497d05c84bbc1b,Student,Locker checks,2026-04-26T15:53:41.397724+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,4.71,5.5,5.0,5.0,4.0,4.5,4.5,4.5
24806506eb594f1f8f19744a5754c33d,ChatGPT-3,Locker checks,2026-04-26T15:53:43.262775+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.64,6.0,6.0,6.0,6.0,4.5,5.5,5.5
3942af460ead4919a55d3b6c371337b5,ChatGPT-4,Locker checks,2026-04-26T15:53:45.402652+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.21,5.5,5.5,5.5,5.5,4.5,5.0,5.0
901fe57b1d674d809b32c5db06e7915e,Qwen3.6Plus,Locker checks,2026-04-26T15:53:46.978452+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.71,6.0,6.0,6.0,5.5,5.5,5.5,5.5
f5875236fbe54c2caeca9405837616c3,Kimi-K2.6,Locker checks,2026-04-26T15:53:48.421107+00:00,GPT-5.4 Mini Evaluator,openai/gpt-5.4-mini,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
