quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,5.0,4.93,5.1,5.1,4.13,4.73,4.8,4.83
ChatGPT-4,5.8,5.7,5.8,5.8,5.27,5.67,5.7,5.68
ClaudeOpus4.6,5.67,5.67,5.67,5.67,5.17,5.57,5.63,5.58
ClaudeOpus4.7,5.8,5.8,5.8,5.8,5.3,5.73,5.77,5.72
DeepSeek-V3.2,5.83,5.8,5.83,5.83,5.4,5.73,5.8,5.75
DeepSeek-V4Pro,5.9,5.9,5.9,5.9,5.57,5.87,5.87,5.84
GLM-5.1,5.36,5.36,5.39,5.39,4.79,5.29,5.32,5.27
GPT-5.5,5.47,5.43,5.47,5.43,4.9,5.37,5.4,5.35
Gemini3.1Pro,5.93,5.8,5.9,5.9,5.67,5.83,5.9,5.85
Kimi-K2.6,5.83,5.83,5.83,5.83,5.5,5.8,5.8,5.78
MiniMax-M2.7,5.67,5.67,5.67,5.67,5.13,5.6,5.63,5.58
Qwen3.6Plus,5.97,5.97,5.97,5.97,5.77,5.93,5.93,5.93
Student,4.7,4.13,3.9,3.47,3.37,3.7,3.47,3.82
