session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
04820d710de349ca8d17fc79fe488da9,Student,Museums as a form of entertainment or education?,2026-04-26T15:45:46.109059+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.71,5.5,5.0,5.0,4.5,4.0,4.5,4.5
edf008450f2f49be9870bf15828b8fc3,ChatGPT-3,Museums as a form of entertainment or education?,2026-04-26T15:45:47.684616+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,4.93,5.5,5.0,5.5,5.5,4.0,4.5,4.5
f3456ddfa10d46439acd64f05a63014d,ChatGPT-4,Museums as a form of entertainment or education?,2026-04-26T15:45:49.558623+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
48bdb4ff3d884058a8adad7e51a6500b,Qwen3.6Plus,Museums as a form of entertainment or education?,2026-04-26T15:45:51.893245+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
5f70c6ca35524d66a978bf670756921d,Kimi-K2.6,Museums as a form of entertainment or education?,2026-04-26T15:45:54.317787+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
09385bba8c5747c983bacbddd55b3dc7,GLM-5.1,Museums as a form of entertainment or education?,2026-04-26T15:45:56.590866+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.57,6.0,5.5,6.0,5.5,5.0,5.5,5.5
a8a31ec03362436595881d56305eaff2,MiniMax-M2.7,Museums as a form of entertainment or education?,2026-04-26T15:45:58.358963+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.64,6.0,6.0,6.0,5.5,5.0,5.5,5.5
7a3ccf852c084ba2bb3cc2430c2a3f1b,DeepSeek-V3.2,Museums as a form of entertainment or education?,2026-04-26T15:46:00.372717+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.64,6.0,6.0,6.0,5.5,5.0,5.5,5.5
b8d59a487ad64cf1a0b8d27c1cf7458c,GPT-5.5,Museums as a form of entertainment or education?,2026-04-26T15:46:02.451959+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.57,6.0,5.5,6.0,5.5,5.0,5.5,5.5
793e66113a1344c1987180efcb57dac1,DeepSeek-V4Pro,Museums as a form of entertainment or education?,2026-04-26T15:46:04.527072+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
0e59ce16f6ef4295b8d8da62c66d18e8,ClaudeOpus4.6,Museums as a form of entertainment or education?,2026-04-26T15:46:06.484414+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.36,6.0,5.5,5.5,5.5,5.0,5.0,5.0
226daa9742ed4449951d8061e31c4e6a,ClaudeOpus4.7,Museums as a form of entertainment or education?,2026-04-26T15:46:08.532059+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5
b6efee01d9e74b519e97c6374643d028,Gemini3.1Pro,Traditional games or modern games in developing children's skills,2026-04-26T15:45:44.191322+00:00,Gemini3.1FlashLite Evaluator,google/gemini-3.1-flash-lite-preview,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
