session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,teacher_folder
3a3a3438a8284302907f8171704cfdcc,Student,Is image more powerful than the written word?,2026-04-26T15:43:57.171141+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.64,5.0,5.0,5.0,4.5,4.0,4.5,4.5,claudeopus4-7-evaluator
71fde72455de43128146013fd66c7d8e,ChatGPT-3,Is image more powerful than the written word?,2026-04-26T15:44:00.342488+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.71,5.0,5.0,5.0,5.0,4.0,4.5,4.5,claudeopus4-7-evaluator
f62489631bd6463cb71e6a367566d11a,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T00:09:20.016302+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
1f8f8e92455a4a0b82829b9cc195463a,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T00:09:22.713100+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
0718257895a84327a560f37f8daa5293,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T00:09:24.410402+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.57,6.0,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
d1f0fff0a264427ca2e92ae484e7d86d,GLM-5.1,Is image more powerful than the written word?,2026-04-27T00:09:26.940332+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
55c4bf0a54014cd99bf236bb0415a2f7,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T00:09:28.996732+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.93,5.0,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
c4063ea44e604085832e7d44ed352e63,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T00:09:31.568764+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
4767ba0b6551473ab027ade2f8475791,GPT-5.5,Is image more powerful than the written word?,2026-04-27T00:09:37.987600+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
1c50bd72a2f8404ca6ff6148a21d4cd2,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T00:09:39.648306+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
a93f0e34b9824bd0a0b69759f55b98b0,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-27T00:09:42.071175+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.0,5.5,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
db29b91c39cd4f9b89420b24d2a13530,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-27T00:09:43.863804+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
8ed1b5e9e46b499a826d39e5074ea722,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-27T00:09:45.764334+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
d588438bc37d414999ccfafb67a32846,Student,Locker checks,2026-04-27T00:13:03.367226+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.36,5.0,4.5,4.5,4.0,4.0,4.5,4.0,claudeopus4-7-evaluator
26e748da00ed4cb3b8f304b4f34a7cb6,ChatGPT-3,Locker checks,2026-04-27T00:13:05.674505+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.0,5.5,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
ead48c762b5c495aaff3e978870afccc,ChatGPT-4,Locker checks,2026-04-27T00:13:07.891708+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.0,5.5,5.0,5.0,5.0,4.5,5.0,5.0,claudeopus4-7-evaluator
733b5a8e07904eaeab5b26f925b9585b,Qwen3.6Plus,Locker checks,2026-04-27T00:13:10.304074+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
626093d0d2a8407d89e5124a6e1dd041,Kimi-K2.6,Locker checks,2026-04-27T00:13:11.980329+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
4acf0cb039914ba29ab983a4b02c5902,GLM-5.1,Locker checks,2026-04-27T00:13:13.648542+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
3491549b68fd48e79b0e2c7c7517b832,MiniMax-M2.7,Locker checks,2026-04-27T00:13:16.254609+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2614ce3102dd4a43b2db10a141f1cb64,DeepSeek-V3.2,Locker checks,2026-04-27T00:13:21.171662+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
e955c6d39eee4757ba958fd317f8fd4d,GPT-5.5,Locker checks,2026-04-27T00:13:23.341437+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
46428d66d5584cc880495a7fea2ce057,DeepSeek-V4Pro,Locker checks,2026-04-27T00:13:25.906474+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
6d5a21e57cbc493f9a7474c4dc1c11b5,ClaudeOpus4.6,Locker checks,2026-04-27T00:13:27.543822+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
11d2cbd8918d4d4ea61e985565de8092,ClaudeOpus4.7,Locker checks,2026-04-27T00:13:29.616796+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
dd58f4ebd8cc49c28379d1569d665525,Gemini3.1Pro,Locker checks,2026-04-27T00:13:31.642883+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
c370d4b126b744b191423054de8d9daa,Student,Why you should exercise,2026-04-27T00:13:55.081797+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.79,5.5,5.0,5.0,4.5,4.5,4.5,4.5,claudeopus4-7-evaluator
607260b871c64069b84edb78855f6b0a,ChatGPT-3,Why you should exercise,2026-04-27T00:13:57.209770+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
fa91f1271c4b4d67b702c698622d6aec,ChatGPT-4,Why you should exercise,2026-04-27T00:13:59.167798+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
a45ebe4152de4e92a682e2592d2c3012,Qwen3.6Plus,Why you should exercise,2026-04-27T00:14:01.052069+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
3ab946f752f84ad098e00c7472ea1771,Kimi-K2.6,Why you should exercise,2026-04-27T00:14:03.153449+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.21,5.5,5.0,5.5,5.0,5.0,5.5,5.0,claudeopus4-7-evaluator
badec3571ad9403aa149026cc5ae3fb9,GLM-5.1,Why you should exercise,2026-04-27T00:14:08.837416+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
15d027b8340446dc93552112775eb64c,MiniMax-M2.7,Why you should exercise,2026-04-27T00:14:10.537817+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
8a214933dd274bf092a9e0c6f2c3bf33,DeepSeek-V3.2,Why you should exercise,2026-04-27T00:14:12.479510+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
2876a1505cf64eebb662d85aee570901,GPT-5.5,Why you should exercise,2026-04-27T00:14:14.403869+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5,claudeopus4-7-evaluator
8f53e905d7e84418ba6e3cb768014067,DeepSeek-V4Pro,Why you should exercise,2026-04-27T00:14:16.986205+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
29ec7623d90f42fba72f5753fa41684a,ClaudeOpus4.6,Why you should exercise,2026-04-27T00:14:18.746444+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
ce56eaaa3f10410d9a1668b7214c047d,ClaudeOpus4.7,Why you should exercise,2026-04-27T00:14:20.405740+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.5,6.0,5.5,5.5,5.5,5.0,5.5,5.5,claudeopus4-7-evaluator
aadee70b28484e23acee2e1e0c22615f,Gemini3.1Pro,Why you should exercise,2026-04-27T00:14:21.975830+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,5.57,6.0,5.5,5.5,5.5,5.5,5.5,5.5,claudeopus4-7-evaluator
f983db61e46e4ffc9d9cc3f26231cf8b,Student,Traditional games or modern games in developing children's skills,2026-04-27T00:14:43.294545+00:00,ClaudeHaiku4.5 Evaluator,anthropic/claude-haiku-4.5,4.86,5.5,5.0,5.0,4.5,4.5,5.0,4.5,claudeopus4-7-evaluator
