quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,4.83,4.76,4.9,4.9,4.11,4.49,4.51,4.64
ChatGPT-4,5.27,5.22,5.31,5.32,4.8,5.13,5.09,5.16
ClaudeOpus4.6,5.21,5.17,5.22,5.22,4.71,4.94,4.97,5.06
ClaudeOpus4.7,5.35,5.33,5.39,5.38,4.93,5.16,5.16,5.25
DeepSeek-V3.2,5.38,5.36,5.44,5.43,5.01,5.24,5.24,5.3
DeepSeek-V4Pro,5.5,5.47,5.51,5.47,5.2,5.41,5.4,5.42
GLM-5.1,5.08,5.02,5.13,5.11,4.51,4.8,4.85,4.93
GPT-5.5,5.09,5.05,5.14,5.1,4.56,4.78,4.83,4.94
Gemini3.1Pro,5.34,5.16,5.35,5.39,5.12,5.26,5.24,5.27
Kimi-K2.6,5.43,5.41,5.48,5.47,5.11,5.34,5.31,5.37
MiniMax-M2.7,5.32,5.28,5.31,5.29,4.83,5.06,5.08,5.17
Qwen3.6Plus,5.54,5.54,5.57,5.56,5.27,5.45,5.43,5.48
Student,4.68,4.23,4.13,3.71,3.69,3.91,3.73,4.01
