session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
479c19554ed545599fd3deea969faa6a,ChatGPT-3,Locker checks,2026-04-26T15:45:17.416296+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.36,5.0,4.5,5.0,4.5,3.5,4.0,4.0
edeb79778f3d473eac6c984509fea711,ChatGPT-4,Locker checks,2026-04-26T15:45:35.895387+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.64,5.0,4.5,5.0,5.0,4.0,4.5,4.5
bb90195789574eaa975a508e4ee59b15,Qwen3.6Plus,Locker checks,2026-04-26T15:45:41.055127+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5
5186bf4703344a5887243cca9f0efcab,Kimi-K2.6,Locker checks,2026-04-26T15:45:44.007552+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5
b69343c356fd4a1ba9df793087360223,MiniMax-M2.7,Locker checks,2026-04-26T15:45:55.934947+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
c445f46028574dd799cd9f0b2fcd8b3d,DeepSeek-V3.2,Locker checks,2026-04-26T15:46:00.200147+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.79,5.0,5.0,5.5,5.0,4.0,4.5,4.5
9b250493b763436a812c1fabc21390e3,DeepSeek-V4Pro,Locker checks,2026-04-26T15:46:05.270962+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
1f00f5432e604d85a08e80490b51265d,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-26T15:45:05.358077+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5
bc76304d2aa64956ba4fce80cd2f9fe4,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-26T15:45:07.864887+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.07,5.0,5.0,5.5,5.5,4.5,5.0,5.0
128790fef5df4bcca953a06dad257c54,GLM-5.1,Locker checks,2026-04-26T15:45:49.848696+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.71,5.0,5.0,5.0,5.0,4.0,4.5,4.5
acb3e70019e74d51967efb6a40b9b97d,GPT-5.5,Locker checks,2026-04-26T15:46:02.668125+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.07,5.0,5.0,5.5,5.5,4.5,5.0,5.0
1142a510f02e4d9ab1749a84bd6a367e,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-26T15:45:00.682521+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.71,5.0,5.0,5.0,5.0,4.0,4.5,4.5
1ffcf43de1174d07858d20eb138d4cba,Student,Locker checks,2026-04-26T15:45:14.616907+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,3.57,4.0,3.5,4.0,3.5,3.0,3.5,3.5
db588bc141134e11aab92ab7eeeef88f,Student,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,3.86,4.5,4.0,4.0,4.0,3.5,3.5,3.5
488f44c5f5084283b3cb64449c4d77b5,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,3.79,4.0,4.0,4.0,4.0,3.5,3.5,3.5
88f1a2603af4445ca22804c332e7558d,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.86,5.0,5.0,5.0,5.0,4.5,5.0,4.5
db68ab0c4ab84f14b674255dd0e414b2,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
b75dccd591a2424aa44fa77d3984a26e,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.86,6.0,6.0,6.0,6.0,5.5,6.0,5.5
ff19c6834b24441692460cd4352ecf6c,GLM-5.1,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.29,4.5,4.5,4.5,4.5,4.0,4.0,4.0
4a49c9f4e40b457c8215daf17372a3ea,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.29,4.5,4.5,4.5,4.5,4.0,4.0,4.0
32255a6b507a4b019e7e4332f8b06d2a,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
78dd69aa005a42f79bd1b6a283cf2fba,GPT-5.5,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
ec6183bfb9f94eecacb9daf5a9e91a98,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T01:18:52.170124+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
34beb967c23e435c9d08306e5dbf44ca,ClaudeOpus4.6,Locker checks,2026-04-27T01:19:06.466218+00:00,Kimi-K2.5 Evaluator,Kimi-K2.5,4.71,5.0,5.0,5.0,5.0,4.0,4.5,4.5
