session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
68394c3be78c4b0981fe1bca4aaf5ad6,Student,Is image more powerful than the written word?,2026-04-27T05:19:55.047832+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,4.29,5.0,4.5,4.5,4.0,4.0,4.0,4.0
27f27caa5e6f4e3e8c50e48ac53e39c6,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.14,5.5,5.0,5.0,5.5,5.0,5.0,5.0
5faa65419f5544f088df0d134bea4d60,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
1020ee90e4be46b290a34f4d74e3c7f1,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.64,6.0,5.5,5.5,6.0,5.5,5.5,5.5
5d8aa2efebab4aa8bd397852b2a534bc,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
979afc8583814dadbacbb1581f86420f,GLM-5.1,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.14,5.5,5.0,5.0,5.5,5.0,5.0,5.0
a1d4bde0b86e44528b095264e509e29a,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5bb36f7edccb4338a502ea8d127a6558,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
6ba97e6eda7a4505bd25e2ce07155cbd,GPT-5.5,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.07,5.5,5.0,5.0,5.0,5.0,5.0,5.0
b11bb698ed2a443d8ed70127d861bc54,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.64,6.0,5.5,5.5,6.0,5.5,5.5,5.5
ff6d531ba7b243a5a6a788777a2b1279,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
6b4d62007a3a4a99889417fa19a24064,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
e746b497403143f78d6e7b635fd88ec7,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-27T05:19:55.048385+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.14,5.5,5.0,5.0,5.5,5.0,5.0,5.0
0d047bc7abb240c2920ab2eb33bac075,Student,Locker checks,2026-04-27T05:20:04.920415+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,3.0,3.5,3.0,3.5,3.0,2.5,3.0,2.5
c81bc70b893349da9651a0718e15008b,ChatGPT-3,Locker checks,2026-04-27T05:20:04.920415+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
a23e8e33425c49ec81697bcd6ba0a939,ChatGPT-4,Locker checks,2026-04-27T05:20:04.920415+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
20c55a9da7184a80b96af6447fca14a5,Qwen3.6Plus,Locker checks,2026-04-27T05:20:04.920415+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.79,6.0,6.0,6.0,6.0,5.5,5.5,5.5
134b96cd383a41edb1e15e35db3257a3,Kimi-K2.6,Locker checks,2026-04-27T05:20:04.920415+00:00,Grok-4.0-Fast Evaluator,x-ai/grok-4.0-fast,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
