quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,4.6,4.6,4.73,4.73,4.03,4.43,4.47,4.52
ChatGPT-4,4.87,4.93,5.03,5.03,4.57,4.9,4.9,4.89
ClaudeOpus4.6,4.7,4.67,4.7,4.7,4.2,4.57,4.6,4.59
ClaudeOpus4.7,4.9,4.87,4.87,4.87,4.47,4.8,4.83,4.8
DeepSeek-V3.2,5.03,5.03,5.03,5.0,4.67,4.93,4.97,4.95
DeepSeek-V4Pro,5.13,5.13,5.13,5.13,4.77,5.07,5.1,5.07
GLM-5.1,4.68,4.71,4.82,4.75,4.21,4.57,4.64,4.63
GPT-5.5,4.63,4.6,4.67,4.63,4.13,4.5,4.57,4.53
Gemini3.1Pro,5.13,5.1,5.17,5.13,5.0,5.07,5.1,5.1
Kimi-K2.6,5.17,5.2,5.2,5.2,4.97,5.17,5.2,5.16
MiniMax-M2.7,4.8,4.8,4.87,4.83,4.4,4.7,4.73,4.73
Qwen3.6Plus,5.33,5.33,5.37,5.37,5.2,5.3,5.33,5.32
Student,4.27,3.93,3.7,3.4,3.6,3.6,3.4,3.7
