quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,5.67,5.6,5.6,5.57,4.67,5.2,5.1,5.34
ChatGPT-4,5.83,5.8,5.8,5.73,5.23,5.63,5.4,5.63
ClaudeOpus4.6,5.93,5.93,5.93,5.93,5.4,5.53,5.5,5.74
ClaudeOpus4.7,5.9,5.9,5.9,5.87,5.4,5.53,5.47,5.71
DeepSeek-V3.2,5.97,5.97,5.97,5.97,5.5,5.77,5.7,5.84
DeepSeek-V4Pro,5.97,5.97,5.97,5.97,5.53,5.93,5.93,5.9
GLM-5.1,5.93,5.93,5.93,5.89,5.29,5.46,5.46,5.7
GPT-5.5,5.87,5.87,5.87,5.87,5.27,5.43,5.43,5.66
Gemini3.1Pro,5.97,5.93,5.93,5.9,5.5,5.73,5.67,5.81
Kimi-K2.6,5.93,5.9,5.93,5.93,5.47,5.77,5.67,5.8
MiniMax-M2.7,5.97,5.9,5.9,5.83,5.37,5.53,5.5,5.72
Qwen3.6Plus,6.0,6.0,6.0,5.97,5.5,5.9,5.77,5.88
Student,5.37,4.8,4.7,4.0,4.27,4.4,4.27,4.54
