quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,4.23,4.1,4.27,4.2,3.6,3.77,3.87,4.0
ChatGPT-4,4.73,4.67,4.83,4.77,4.4,4.63,4.67,4.67
ClaudeOpus4.6,4.63,4.6,4.67,4.63,4.2,4.33,4.43,4.5
ClaudeOpus4.7,4.8,4.87,4.93,4.83,4.4,4.73,4.63,4.74
DeepSeek-V3.2,4.87,4.9,4.97,4.9,4.63,4.77,4.8,4.83
DeepSeek-V4Pro,4.97,5.03,5.07,4.7,4.87,4.93,4.93,4.93
GLM-5.1,4.14,4.11,4.29,4.18,3.39,3.96,4.0,4.01
GPT-5.5,4.57,4.53,4.63,4.53,4.13,4.33,4.37,4.44
Gemini3.1Pro,4.43,4.47,4.47,4.47,4.37,4.4,4.4,4.43
Kimi-K2.6,4.93,4.87,5.0,4.9,4.53,4.9,4.83,4.85
MiniMax-M2.7,4.73,4.77,4.77,4.73,4.43,4.53,4.6,4.65
Qwen3.6Plus,5.0,5.03,5.07,4.97,4.83,4.93,4.93,4.97
Student,4.1,3.73,3.43,3.33,3.3,3.47,3.43,3.54
