session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
11b55b1fb6074f41bc4311a51bb36f0c,Student,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,4.21,5.0,4.5,4.5,4.0,3.5,4.0,4.0
0f4c97bf966841cca386d8f1b91d5547,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.29,5.5,5.5,5.5,5.5,4.5,5.0,5.5
e7e4a565f71b4751acb99a2f5d403275,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.86,6.0,6.0,6.0,6.0,5.5,5.5,6.0
ca3d4a8174504f7cbf796cfcb7c0dcf2,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1c123cdba0114f189f44463432bb8029,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
30c6f45a0e9847f9b0d055ae1de799e5,GLM-5.1,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.29,5.5,5.5,5.5,5.5,4.5,5.0,5.5
8a3412b3323d463488185a2909e75470,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.29,5.5,5.5,5.5,5.5,4.5,5.0,5.5
f863addf0a5346569211e2b9be8743f6,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.86,6.0,6.0,6.0,6.0,5.5,5.5,6.0
8b414853130646f0b3f98b058e0125b8,GPT-5.5,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.29,5.5,5.5,5.5,5.5,4.5,5.0,5.5
16c9337829134ab2a5325fc541329f10,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
95eda1d50fc2455089196fc53ff5b797,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.86,6.0,6.0,6.0,6.0,5.5,5.5,6.0
d19747ad6d4d42ea9cfcf23ae2d6a3de,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.86,6.0,6.0,6.0,6.0,5.5,5.5,6.0
952bfcf1f50444269b4741d98004b5fb,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-27T05:13:44.535061+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
b1f85e5fbe0842a8a3cf5016c456634b,Student,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,3.64,5.0,4.0,3.5,3.0,3.5,3.5,3.0
4452ffe498704c16adf7da85dc43e1d8,ChatGPT-3,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.14,5.5,5.0,5.5,5.5,4.5,5.0,5.0
4416bf2c9a27431ebdcb301e205abdd7,ChatGPT-4,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.71,6.0,5.5,6.0,6.0,5.5,5.5,5.5
b489222a2a2a4d3b8c1462e45e083a47,Qwen3.6Plus,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ac9a46059af74a609ae08a409aef9706,Kimi-K2.6,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
41eee29bbf04412bbe745701288218d3,GLM-5.1,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
a2b6e7b6469447fba77e29eef8e13a80,MiniMax-M2.7,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
ab43dc22bd2845bcbb635dda5fbe3ec4,DeepSeek-V3.2,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.79,6.0,5.5,6.0,6.0,5.5,5.5,6.0
b3d362cf9ca5420da01a09a22bc488e0,GPT-5.5,Locker checks,2026-04-27T05:14:04.715313+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
bf0bb48e1fdb49508570a8f385708470,DeepSeek-V4Pro,Locker checks,2026-04-27T05:14:04.715828+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
9b9a765fdf1f49e7ab7a7402ea094d53,ClaudeOpus4.6,Locker checks,2026-04-27T05:14:04.715828+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.36,5.5,5.5,5.5,5.5,5.0,5.0,5.5
154f41eb735047b69c1becd5efa56e14,ClaudeOpus4.7,Locker checks,2026-04-27T05:14:04.715828+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.93,6.0,6.0,6.0,6.0,5.5,6.0,6.0
4f819914232d42909b52df0284c30395,Gemini3.1Pro,Locker checks,2026-04-27T05:14:04.715828+00:00,Qwen3.5-Flash Evaluator,ali/qwen3.5-flash,5.79,6.0,5.5,6.0,6.0,5.5,5.5,6.0
