quelle,company,mean_overall,rank_within_company
Qwen3.6Plus,Alibaba,5.481259259259259,1.0
ClaudeOpus4.7,Anthropic,5.245259259259259,1.0
ClaudeOpus4.6,Anthropic,5.064962962962963,2.0
DeepSeek-V4Pro,DeepSeek,5.42237037037037,1.0
DeepSeek-V3.2,DeepSeek,5.302666666666667,2.0
Gemini3.1Pro,Google,5.268222222222223,1.0
Student,Human,4.012222222222222,1.0
MiniMax-M2.7,MiniMax,5.167925925925926,1.0
Kimi-K2.6,Moonshot,5.365037037037037,1.0
ChatGPT-4,OpenAI,5.164888888888889,1.0
GPT-5.5,OpenAI,4.935185185185185,2.0
ChatGPT-3,OpenAI,4.642296296296297,3.0
GLM-5.1,ZhipuAI,4.930238095238096,1.0
