quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,5.17,5.0,5.13,5.0,4.43,4.67,4.7,4.87
ChatGPT-4,5.47,5.37,5.47,5.43,5.03,5.23,5.23,5.32
ClaudeOpus4.6,5.37,5.17,5.27,5.2,4.77,4.9,4.9,5.08
ClaudeOpus4.7,5.5,5.33,5.4,5.4,5.03,5.03,5.07,5.25
DeepSeek-V3.2,5.5,5.4,5.5,5.43,5.1,5.23,5.2,5.34
DeepSeek-V4Pro,5.6,5.47,5.57,5.47,5.23,5.4,5.37,5.44
GLM-5.1,5.36,5.11,5.21,5.11,4.64,4.89,4.86,5.03
GPT-5.5,5.33,5.03,5.2,5.03,4.57,4.7,4.67,4.93
Gemini3.1Pro,5.77,5.53,5.6,5.53,5.37,5.47,5.47,5.53
Kimi-K2.6,5.53,5.43,5.53,5.5,5.2,5.33,5.33,5.41
MiniMax-M2.7,5.63,5.33,5.47,5.33,5.0,5.13,5.17,5.29
Qwen3.6Plus,5.8,5.67,5.73,5.63,5.47,5.57,5.6,5.64
Student,5.1,4.47,4.6,4.1,3.93,4.07,4.03,4.33
