session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
7ccaf81ab8774f2cb9e9847dc37e8493,Student,Locker checks,2026-04-26T15:45:58.831357+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,4.29,5.0,4.5,4.5,4.0,4.0,4.0,4.0
dded7f89e8e0429888463192e82f4da7,ChatGPT-3,Locker checks,2026-04-26T15:46:03.562743+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.07,5.5,5.0,5.5,5.0,4.5,5.0,5.0
d40cf832562d4f2f832bb818f5e21225,ChatGPT-4,Is image more powerful than the written word?,2026-04-26T15:44:27.835273+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.43,5.5,5.5,5.5,5.5,5.0,5.5,5.5
70bc09bdd542496f927ef4a5d9167a5a,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-26T15:44:35.344526+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.57,6.0,5.5,6.0,5.5,5.0,5.5,5.5
af5d21a9cd424feca18f6cf9416dec6f,Kimi-K2.6,Is image more powerful than the written word?,2026-04-26T15:44:40.416302+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4604bd78b54845a38f3d5df4f9e6230f,GLM-5.1,Is image more powerful than the written word?,2026-04-26T15:44:49.703853+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.07,5.5,5.0,5.5,5.0,4.5,5.0,5.0
e6e69a61dd584b90855d1d15b631b2a5,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-26T15:45:09.511258+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.07,5.5,5.0,5.5,5.0,4.5,5.0,5.0
1c2cf8ba940141bebcd0799f25378739,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-26T15:45:14.894866+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.36,5.5,5.5,5.5,5.5,5.0,5.5,5.0
1e7973922bf242a9b21afa6dade422ff,GPT-5.5,Is image more powerful than the written word?,2026-04-26T15:45:20.583166+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
7e37e4d9f91340a9913639b6efaf6323,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-26T15:45:25.659827+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.43,6.0,5.5,5.5,5.5,5.0,5.5,5.0
91c9aeaf981e475288247b61d6fe599e,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-26T15:45:31.846002+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.21,5.5,5.0,5.5,5.5,5.0,5.0,5.0
41df9bbf089b4b1e908c9831f5e3ec49,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-26T15:45:37.679286+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
02c8dada03d643db92ddd918254a0b99,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-26T15:45:53.111930+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.43,6.0,5.5,5.5,5.5,5.0,5.5,5.0
0323dcd42a644a5090b2814588bdc340,Student,Is image more powerful than the written word?,2026-04-27T00:27:09.432916+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,4.5,5.0,4.5,5.0,4.5,4.0,4.5,4.0
70ba1c8dbb694746b87adeb39ff90500,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T00:27:09.432916+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
4ec9a4a184d0473d8f2add6953d14374,ChatGPT-4,Locker checks,2026-04-27T00:30:27.018373+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.07,5.5,5.0,5.5,5.0,4.5,5.0,5.0
502bcbcf879241e68aa8c9979a1b55b8,Qwen3.6Plus,Locker checks,2026-04-27T00:30:33.034620+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.71,6.0,6.0,6.0,5.5,5.5,5.5,5.5
797f0f4c6d0246dfaee0e526afef5137,Kimi-K2.6,Locker checks,2026-04-27T00:30:45.924638+00:00,DeepSeek-V3.2 Evaluator,DeepSeek-V3.2,5.29,5.5,5.5,5.5,5.5,5.0,5.0,5.0
