quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,5.2,5.03,5.03,4.9,4.3,4.8,4.8,4.87
ChatGPT-4,5.5,5.4,5.4,5.4,4.9,5.4,5.4,5.34
ClaudeOpus4.6,5.53,5.43,5.43,5.43,4.93,5.37,5.43,5.37
ClaudeOpus4.7,5.6,5.5,5.5,5.5,5.0,5.5,5.5,5.44
DeepSeek-V3.2,5.6,5.5,5.5,5.5,5.03,5.47,5.47,5.44
DeepSeek-V4Pro,5.67,5.5,5.5,5.5,5.07,5.5,5.5,5.46
GLM-5.1,5.54,5.46,5.46,5.46,4.93,5.25,5.43,5.36
GPT-5.5,5.5,5.5,5.5,5.47,5.0,5.2,5.47,5.38
Gemini3.1Pro,5.77,5.5,5.5,5.5,5.2,5.5,5.5,5.5
Kimi-K2.6,5.57,5.47,5.5,5.47,5.07,5.5,5.47,5.43
MiniMax-M2.7,5.5,5.4,5.4,5.4,4.9,5.37,5.4,5.34
Qwen3.6Plus,5.53,5.5,5.5,5.5,5.03,5.5,5.5,5.44
Student,5.13,4.7,4.57,4.13,4.13,4.57,4.2,4.49
