session,quelle,thema,erstellt,teacher_name,teacher_model,overall_score,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen
19132e50b2cb44749c525c49b05b7a64,Student,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,3.93,4.0,4.0,4.5,4.0,3.5,4.0,3.5
ceabae6dbc174e65b5b0d656d502e603,ChatGPT-3,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.14,4.0,4.0,4.5,5.0,3.5,4.0,4.0
c956c2d69fec42798da13b3ace685e6f,ChatGPT-4,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.57,4.5,4.5,5.0,5.0,4.0,4.5,4.5
09a252c63a1848f48a5d1d721022f2ec,Qwen3.6Plus,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.14,5.0,5.0,5.5,5.5,5.0,5.0,5.0
84db0b5a4a764cc481ba06a8c9461885,Kimi-K2.6,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.36,5.0,5.5,5.5,5.5,5.5,5.5,5.0
37505fdc812a42eeb45a76db72f57bed,GLM-5.1,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
27323f13d39c49a88d2ebd689eb91a6c,MiniMax-M2.7,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
63da9fa3c1444e6aa0d9d08e084c2747,DeepSeek-V3.2,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.14,5.0,5.0,5.5,5.5,5.0,5.0,5.0
ac91abe0edec4feb959bf84b8d275781,GPT-5.5,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.5,4.5,4.5,5.0,5.0,4.0,4.5,4.0
23778103019949fbb1efeeb8f86f3f13,DeepSeek-V4Pro,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.14,5.0,5.0,5.5,5.5,5.0,5.0,5.0
6adc68372b784758951e23bec1bdf170,ClaudeOpus4.6,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
37ca5735643d4cb1bf6d1b51c5d45599,ClaudeOpus4.7,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.79,5.0,5.0,5.0,5.0,4.5,4.5,4.5
b572a68884ea4046a85b8bb868383072,Gemini3.1Pro,Is image more powerful than the written word?,2026-04-27T05:24:17.820537+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.5,4.5,4.0,4.5,5.0,4.5,4.5,4.5
ae4675565f1141458ba61cc0c262e34a,Student,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,3.86,4.5,4.0,4.0,3.5,3.5,4.0,3.5
2d34c5c09ba2408b8715ae31189ba3bc,ChatGPT-3,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.21,4.0,4.5,4.5,5.0,3.5,4.0,4.0
a5c9ae6fb602444fab121ab256b5a007,ChatGPT-4,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.57,4.5,4.5,5.0,5.0,4.0,4.5,4.5
fa5e81d5aad34b55bf05c865e920c30d,Qwen3.6Plus,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.14,5.0,5.0,5.5,5.5,5.0,5.0,5.0
8ad345bdd71a45b0b889993161f57d51,Kimi-K2.6,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.29,5.0,5.5,5.5,5.5,5.5,5.0,5.0
94a723517e27455699f774e5a0566f66,GLM-5.1,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.71,4.5,5.0,5.0,5.0,4.5,4.5,4.5
513d4021d59b479eb85cf95c6c55a1fe,MiniMax-M2.7,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.21,5.0,5.5,5.5,5.5,5.0,5.0,5.0
fe8f4f6c2fba4695b978d34f0961ea9e,DeepSeek-V3.2,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.0,5.0,5.0,5.5,5.5,4.5,5.0,4.5
0ea06e02dd1149e4a242ee70ade3d51d,GPT-5.5,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.0,4.5,5.0,5.5,5.5,5.0,4.5,5.0
3b8b9cd4bdb04528bac63e1d3717caaa,DeepSeek-V4Pro,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.36,5.0,5.5,5.5,5.5,5.5,5.0,5.5
97d6ec182bf8446f90651aeddfb6b41d,ClaudeOpus4.6,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.71,4.5,5.0,5.0,5.0,4.5,4.5,4.5
57dd200fb70c4fe8a16b0d75190163a3,ClaudeOpus4.7,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.21,5.0,5.5,5.5,5.5,5.0,5.0,5.0
ff9b4369b15648c2b07edf2bd1851589,Gemini3.1Pro,Locker checks,2026-04-27T05:24:39.524078+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.79,4.5,4.0,5.0,5.5,4.5,5.0,5.0
96d5d246c7a9410a8f401dbec224de7e,Student,Why you should exercise,2026-04-27T05:25:02.493187+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,5.29,6.0,5.5,5.5,5.0,5.0,5.0,5.0
0ea7d306e171490cb07bd024b5858edc,ChatGPT-3,Why you should exercise,2026-04-27T05:25:02.493187+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.43,4.5,4.5,5.0,5.0,4.0,4.0,4.0
1c88c4967401442fa0a3095ce176aab6,ChatGPT-4,Why you should exercise,2026-04-27T05:25:02.493187+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.86,5.0,5.0,5.0,5.5,4.5,4.5,4.5
62600e0f6dd6452baa9ba195ecb96f21,Qwen3.6Plus,Why you should exercise,2026-04-27T05:25:02.493187+00:00,Doubao-Seed-2.0-Pro Evaluator,bytedance/doubao-seed-2-0-pro,4.93,4.5,5.0,5.5,5.5,4.5,5.0,4.5
