quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,4.97,4.9,4.97,5.13,4.43,4.7,4.7,4.83
ChatGPT-4,5.63,5.6,5.53,5.7,5.33,5.47,5.4,5.53
ClaudeOpus4.6,5.37,5.3,5.3,5.33,5.03,5.1,5.1,5.22
ClaudeOpus4.7,5.47,5.43,5.47,5.5,5.27,5.4,5.3,5.41
DeepSeek-V3.2,5.5,5.47,5.53,5.6,5.3,5.43,5.37,5.46
DeepSeek-V4Pro,5.7,5.57,5.63,5.7,5.57,5.63,5.57,5.62
GLM-5.1,5.21,5.04,5.14,5.29,4.79,4.93,4.93,5.05
GPT-5.5,5.1,5.07,5.1,5.17,4.67,4.83,4.83,4.97
Gemini3.1Pro,5.27,4.77,5.27,5.5,5.3,5.33,5.23,5.24
Kimi-K2.6,5.5,5.43,5.5,5.57,5.3,5.43,5.37,5.44
MiniMax-M2.7,5.53,5.5,5.53,5.53,5.23,5.27,5.3,5.42
Qwen3.6Plus,5.77,5.7,5.7,5.8,5.53,5.6,5.53,5.66
Student,4.47,4.03,4.0,3.53,3.47,3.83,3.47,3.83
