objective_feature,target,n,pearson_r,spearman_r
LD,overall_score__mean,194,0.5639697037354297,0.5725017290040186
word_count,overall_score__mean,194,-0.42977307340510557,-0.16202957820798966
modals2,overall_score__mean,194,-0.42741669373457475,-0.3658232742088774
modals_all,overall_score__mean,194,-0.4066314529506677,-0.32383457233004354
sent_count,overall_score__mean,194,-0.3242110498256238,-0.10177116120075234
nom_per_sent,overall_score__mean,194,0.30211899242340673,0.32881460872316354
discourse,overall_score__mean,194,-0.29233074598417236,-0.1408193540077168
mod_per_sent,overall_score__mean,194,-0.26898022604975513,-0.26702525187697823
EpMarkers,overall_score__mean,194,-0.2553791766203125,-0.24318251559001358
ep_per_sent,overall_score__mean,194,-0.21515525630048038,-0.23984792316863593
sent_complex_depth,overall_score__mean,194,-0.18663479483272424,-0.13108109604578186
nominalisation,overall_score__mean,194,0.10016648872296437,0.216874527776588
modals1,overall_score__mean,194,-0.09862438501762051,-0.05931476425939516
dm_per_sent,overall_score__mean,194,-0.06178693443413432,-0.055217558608681015
sent_complex_tags,overall_score__mean,194,0.04272144776556889,0.04075414149590163
