quelle,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,overall_score
ChatGPT-3,4.43,4.3,4.5,4.47,3.73,3.93,4.13,4.22
ChatGPT-4,4.93,4.83,4.93,4.93,4.33,4.67,4.7,4.76
ClaudeOpus4.6,4.83,4.8,4.83,4.83,4.17,4.4,4.6,4.64
ClaudeOpus4.7,5.2,5.17,5.2,5.2,4.63,4.77,5.0,5.03
DeepSeek-V3.2,5.2,5.2,5.3,5.27,4.73,4.93,5.03,5.1
DeepSeek-V4Pro,5.3,5.27,5.33,5.3,4.93,5.1,5.13,5.2
GLM-5.1,4.75,4.68,4.82,4.75,4.14,4.29,4.5,4.56
GPT-5.5,4.7,4.7,4.8,4.7,4.07,4.23,4.43,4.52
Gemini3.1Pro,5.17,4.87,5.17,5.17,4.87,5.03,4.93,5.03
Kimi-K2.6,5.37,5.33,5.4,5.4,5.0,5.2,5.23,5.28
MiniMax-M2.7,4.97,4.97,4.97,4.93,4.37,4.53,4.7,4.78
Qwen3.6Plus,5.4,5.4,5.4,5.4,5.1,5.23,5.3,5.32
Student,4.4,3.93,3.97,3.57,3.4,3.53,3.5,3.76
