quelle,company,themenbezogenheit__weighted,themenbezogenheit__plain_mean,logik-des-aufbaus__weighted,logik-des-aufbaus__plain_mean,ausfuehrlichkeit-aussagekraft__weighted,ausfuehrlichkeit-aussagekraft__plain_mean,sprachbeherrschung__weighted,sprachbeherrschung__plain_mean,komplexitaet__weighted,komplexitaet__plain_mean,wortschatz-textverknuepfung__weighted,wortschatz-textverknuepfung__plain_mean,gebrauch-sprachlicher-strukturen__weighted,gebrauch-sprachlicher-strukturen__plain_mean,overall_score__weighted,overall_score__plain_mean
ChatGPT-3,OpenAI,4.694734925360039,4.833333333333333,4.6245104377094775,4.7555555555555555,4.7953195882158814,4.9037037037037035,4.793810536554756,4.896296296296296,4.005992290232073,4.107407407407408,4.362854565976912,4.48888888888889,4.399195873780778,4.51111111111111,4.525321156354119,4.642296296296297
ChatGPT-4,OpenAI,5.129629622881156,5.266666666666667,5.09461958659437,5.222222222222222,5.206208167863757,5.314814814814814,5.213674134024869,5.322222222222221,4.684610546188348,4.803703703703704,5.008824075435079,5.133333333333333,4.9709296822727165,5.0851851851851855,5.04487567177109,5.164888888888888
ClaudeOpus4.6,Anthropic,5.071140131397741,5.214814814814814,5.033249718947846,5.17037037037037,5.088855190574862,5.218518518518518,5.090116082459263,5.218518518518518,4.569964471611778,4.711111111111111,4.79676712938967,4.937037037037036,4.84390404053442,4.974074074074074,4.929034538159071,5.064962962962962
ClaudeOpus4.7,Anthropic,5.234321921928155,5.351851851851851,5.226148343682587,5.333333333333333,5.289657529884815,5.388888888888889,5.275753056279963,5.377777777777777,4.825606875931378,4.933333333333334,5.055392823832,5.162962962962963,5.061320472135489,5.159259259259259,5.139539622868814,5.245259259259259
DeepSeek-V3.2,DeepSeek,5.263123572955495,5.377777777777778,5.254847950200972,5.359259259259259,5.3504928591447225,5.444444444444445,5.33467251402109,5.433333333333334,4.9173056022251185,5.014814814814815,5.135305045725737,5.2444444444444445,5.136260083720283,5.2370370370370365,5.199857155006741,5.302666666666666
DeepSeek-V4Pro,DeepSeek,5.391974252453693,5.496296296296296,5.3820634177178555,5.470370370370371,5.4296399860299305,5.514814814814815,5.367121311962816,5.466666666666667,5.115666176126289,5.196296296296296,5.308281958124677,5.411111111111111,5.296858581370155,5.396296296296296,5.32806036859415,5.422370370370371
GLM-5.1,ZhipuAI,4.9166062704323705,5.075396825396825,4.877010729260072,5.023809523809523,5.008212862172355,5.134920634920635,4.975862352284211,5.111111111111112,4.362580298395901,4.511904761904762,4.659509105259968,4.801587301587301,4.709958716840163,4.845238095238096,4.7881451714141985,4.930238095238096
GPT-5.5,OpenAI,4.939549807356184,5.0851851851851855,4.91113079837849,5.048148148148148,5.016663495536507,5.140740740740741,4.967334859317148,5.096296296296297,4.423278959276808,4.555555555555555,4.647857963971076,4.777777777777778,4.707245476889106,4.833333333333332,4.803008948941294,4.935185185185185
Gemini3.1Pro,Google,5.200826247278329,5.344444444444444,5.0319385215662855,5.162962962962963,5.233265148552651,5.348148148148148,5.281305610535673,5.392592592592592,5.019539458052264,5.122222222222222,5.14156695538216,5.2592592592592595,5.12813904021574,5.244444444444444,5.148525965090156,5.268222222222223
Kimi-K2.6,Moonshot,5.332765091740609,5.4259259259259265,5.325079296943761,5.407407407407407,5.401080422061008,5.477777777777778,5.395588340381816,5.474074074074075,5.037436660897549,5.111111111111111,5.26103062522044,5.344444444444444,5.22946260320005,5.307407407407407,5.284162969233902,5.365037037037037
MiniMax-M2.7,MiniMax,5.182859667267243,5.318518518518518,5.160861923393167,5.277777777777778,5.199535640105701,5.314814814814815,5.17299625558645,5.285185185185186,4.718069786442228,4.833333333333333,4.934008766862049,5.059259259259259,4.9583423806781886,5.077777777777778,5.047911668784258,5.1679259259259265
Qwen3.6Plus,Alibaba,5.448178668688061,5.544444444444444,5.450747939701738,5.537037037037038,5.4933529791925695,5.574074074074074,5.481591078135457,5.562962962962962,5.206243153897192,5.270370370370371,5.355968510296904,5.448148148148148,5.343072693332469,5.425925925925926,5.397825068485856,5.481259259259259
Student,Human,4.563274812999851,4.681481481481482,4.138084816804476,4.22962962962963,4.032204227522656,4.133333333333333,3.6475681421591304,3.7111111111111117,3.624404320617851,3.6925925925925926,3.8149697086938517,3.907407407407407,3.648245476712522,3.725925925925926,3.924706244520627,4.012222222222222
