source,sent_count,word_count,sent_complex_tags,sent_complex_depth,LD,discourse,modals1,modals2,modals_all,EpMarkers,nominalisation,dm_per_sent,mod_per_sent,ep_per_sent,nom_per_sent
ChatGPT-3,12.7333,244.4667,2.1988,5.7748,74.923,6.1333,0.9333,7.8,8.7333,0.2667,14.8667,0.4891,0.6892,0.0191,1.2196
ChatGPT-4,12.8667,262.9333,2.2568,6.027,107.0811,4.4,1.0667,3.7333,4.8,0.0,22.2,0.3451,0.3731,0.0,1.7361
ClaudeOpus4.6,13.8,212.6,1.7026,4.7526,140.685,6.4667,0.9333,5.6667,6.6,0.6667,16.0667,0.4694,0.4738,0.0487,1.1698
ClaudeOpus4.7,12.8667,207.4,1.8936,4.9419,183.4892,5.6,0.7333,5.0,5.7333,0.4,12.4667,0.4363,0.4468,0.0308,0.9789
DeepSeek-V3.2,12.8,206.4667,1.7722,5.1596,140.7835,5.5333,0.8,2.0667,2.8667,0.0667,14.9333,0.4407,0.2287,0.0056,1.1865
DeepSeek-V4Pro,12.3333,216.8,1.8701,5.2494,180.3951,6.2667,1.2,4.2,5.4,0.0667,16.8667,0.5134,0.4384,0.0051,1.391
GLM-5.1,11.4286,196.1429,1.795,5.131,156.8161,5.5,1.0714,3.2143,4.2857,0.5,12.4286,0.4919,0.3808,0.0456,1.0939
GPT-5.5,12.6,186.2667,1.9438,4.6386,171.3131,8.3333,0.6667,8.4,9.0667,0.2667,13.0,0.6637,0.7222,0.0237,1.0262
Gemini3.1Pro,8.6667,192.3333,2.3974,6.309,155.3586,5.2,1.0,2.5333,3.5333,0.0,15.4,0.6039,0.4022,0.0,1.7933
Kimi-K2.6,11.6667,195.5333,1.769,4.8812,239.1157,6.6667,1.4667,3.5333,5.0,0.0667,16.0667,0.5744,0.4398,0.0056,1.3804
MiniMax-M2.7,15.0,224.1333,1.6023,4.7016,169.9839,6.3333,1.7333,4.6,6.3333,0.4,19.6,0.4254,0.4329,0.0261,1.3129
Qwen3.6Plus,13.8667,236.6667,1.9137,5.0407,216.1417,7.7333,1.3333,4.3333,5.6667,0.2,19.6667,0.5622,0.407,0.0144,1.4258
Student,23.8667,442.6,1.7884,5.6866,83.8428,12.1333,2.8,11.6,14.4,0.8,18.2,0.5406,0.6462,0.0446,0.8866
