quelle,themenbezogenheit__plain_teacher_mean,logik-des-aufbaus__plain_teacher_mean,ausfuehrlichkeit-aussagekraft__plain_teacher_mean,sprachbeherrschung__plain_teacher_mean,komplexitaet__plain_teacher_mean,wortschatz-textverknuepfung__plain_teacher_mean,gebrauch-sprachlicher-strukturen__plain_teacher_mean,overall_score__plain_teacher_mean,source,sent_count,word_count,sent_complex_tags,sent_complex_depth,LD,discourse,modals1,modals2,modals_all,EpMarkers,nominalisation,dm_per_sent,mod_per_sent,ep_per_sent,nom_per_sent,themenbezogenheit__weighted,themenbezogenheit__plain_mean,logik-des-aufbaus__weighted,logik-des-aufbaus__plain_mean,ausfuehrlichkeit-aussagekraft__weighted,ausfuehrlichkeit-aussagekraft__plain_mean,sprachbeherrschung__weighted,sprachbeherrschung__plain_mean,komplexitaet__weighted,komplexitaet__plain_mean,wortschatz-textverknuepfung__weighted,wortschatz-textverknuepfung__plain_mean,gebrauch-sprachlicher-strukturen__weighted,gebrauch-sprachlicher-strukturen__plain_mean,overall_score__weighted,overall_score__plain_mean
ChatGPT-3,4.8333,4.7556,4.9037,4.8963,4.1074,4.4889,4.5111,4.6423,ChatGPT-3,12.7333,244.4667,2.1988,5.7748,74.923,6.1333,0.9333,7.8,8.7333,0.2667,14.8667,0.4891,0.6892,0.0191,1.2196,4.694734925360039,4.833333333333333,4.6245104377094775,4.755555555555556,4.7953195882158814,4.903703703703704,4.793810536554756,4.896296296296296,4.005992290232073,4.107407407407408,4.362854565976912,4.48888888888889,4.399195873780778,4.51111111111111,4.525321156354119,4.642296296296297
ChatGPT-4,5.2667,5.2222,5.3148,5.3222,4.8037,5.1333,5.0852,5.1649,ChatGPT-4,12.8667,262.9333,2.2568,6.027,107.0811,4.4,1.0667,3.7333,4.8,0.0,22.2,0.3451,0.3731,0.0,1.7361,5.129629622881156,5.266666666666667,5.09461958659437,5.222222222222222,5.206208167863757,5.314814814814814,5.213674134024869,5.322222222222221,4.684610546188348,4.803703703703704,5.008824075435079,5.133333333333333,4.9709296822727165,5.0851851851851855,5.04487567177109,5.164888888888888
ClaudeOpus4.6,5.2148,5.1704,5.2185,5.2185,4.7111,4.937,4.9741,5.065,ClaudeOpus4.6,13.8,212.6,1.7026,4.7526,140.685,6.4667,0.9333,5.6667,6.6,0.6667,16.0667,0.4694,0.4738,0.0487,1.1698,5.071140131397741,5.214814814814814,5.033249718947846,5.17037037037037,5.088855190574862,5.218518518518518,5.090116082459263,5.218518518518518,4.569964471611778,4.711111111111111,4.79676712938967,4.937037037037036,4.84390404053442,4.974074074074074,4.929034538159071,5.064962962962962
ClaudeOpus4.7,5.3519,5.3333,5.3889,5.3778,4.9333,5.163,5.1593,5.2453,ClaudeOpus4.7,12.8667,207.4,1.8936,4.9419,183.4892,5.6,0.7333,5.0,5.7333,0.4,12.4667,0.4363,0.4468,0.0308,0.9789,5.234321921928155,5.351851851851851,5.226148343682587,5.333333333333333,5.289657529884815,5.388888888888889,5.275753056279963,5.377777777777777,4.825606875931378,4.933333333333334,5.055392823832,5.162962962962963,5.061320472135489,5.159259259259259,5.139539622868814,5.245259259259259
DeepSeek-V3.2,5.3778,5.3593,5.4444,5.4333,5.0148,5.2444,5.237,5.3027,DeepSeek-V3.2,12.8,206.4667,1.7722,5.1596,140.7835,5.5333,0.8,2.0667,2.8667,0.0667,14.9333,0.4407,0.2287,0.0056,1.1865,5.263123572955495,5.377777777777778,5.254847950200972,5.359259259259259,5.3504928591447225,5.444444444444445,5.33467251402109,5.433333333333334,4.917305602225119,5.014814814814815,5.135305045725737,5.2444444444444445,5.136260083720283,5.2370370370370365,5.199857155006741,5.302666666666666
DeepSeek-V4Pro,5.4963,5.4704,5.5148,5.4667,5.1963,5.4111,5.3963,5.4224,DeepSeek-V4Pro,12.3333,216.8,1.8701,5.2494,180.3951,6.2667,1.2,4.2,5.4,0.0667,16.8667,0.5134,0.4384,0.0051,1.391,5.391974252453693,5.496296296296296,5.382063417717856,5.470370370370371,5.4296399860299305,5.514814814814815,5.367121311962816,5.466666666666667,5.115666176126289,5.196296296296296,5.308281958124677,5.411111111111111,5.296858581370155,5.396296296296296,5.32806036859415,5.422370370370371
GLM-5.1,5.0754,5.0238,5.1349,5.1111,4.5119,4.8016,4.8452,4.9302,GLM-5.1,11.4286,196.1429,1.795,5.131,156.8161,5.5,1.0714,3.2143,4.2857,0.5,12.4286,0.4919,0.3808,0.0456,1.0939,4.9166062704323705,5.075396825396825,4.877010729260072,5.023809523809523,5.008212862172355,5.134920634920635,4.975862352284211,5.111111111111112,4.362580298395901,4.511904761904762,4.659509105259968,4.801587301587301,4.709958716840163,4.845238095238096,4.788145171414199,4.930238095238096
GPT-5.5,5.0852,5.0481,5.1407,5.0963,4.5556,4.7778,4.8333,4.9352,GPT-5.5,12.6,186.2667,1.9438,4.6386,171.3131,8.3333,0.6667,8.4,9.0667,0.2667,13.0,0.6637,0.7222,0.0237,1.0262,4.939549807356184,5.0851851851851855,4.91113079837849,5.048148148148148,5.016663495536507,5.140740740740741,4.967334859317148,5.096296296296297,4.423278959276808,4.555555555555555,4.647857963971076,4.777777777777778,4.707245476889106,4.833333333333332,4.803008948941294,4.935185185185185
Gemini3.1Pro,5.3444,5.163,5.3481,5.3926,5.1222,5.2593,5.2444,5.2682,Gemini3.1Pro,8.6667,192.3333,2.3974,6.309,155.3586,5.2,1.0,2.5333,3.5333,0.0,15.4,0.6039,0.4022,0.0,1.7933,5.200826247278329,5.344444444444444,5.0319385215662855,5.162962962962963,5.233265148552651,5.348148148148148,5.281305610535673,5.392592592592592,5.019539458052264,5.122222222222222,5.14156695538216,5.25925925925926,5.12813904021574,5.244444444444444,5.148525965090156,5.268222222222223
Kimi-K2.6,5.4259,5.4074,5.4778,5.4741,5.1111,5.3444,5.3074,5.365,Kimi-K2.6,11.6667,195.5333,1.769,4.8812,239.1157,6.6667,1.4667,3.5333,5.0,0.0667,16.0667,0.5744,0.4398,0.0056,1.3804,5.332765091740609,5.425925925925927,5.325079296943761,5.407407407407407,5.401080422061008,5.477777777777778,5.395588340381816,5.474074074074075,5.037436660897549,5.111111111111111,5.26103062522044,5.344444444444444,5.22946260320005,5.307407407407407,5.284162969233902,5.365037037037037
